[db, b6, 7e, 1]
[dc, b5, 76, 1]
[d9, b3, 78, 1]
[d7, b1, 81, 1]
[d8, b0, 7e, 1]
[d7, b4, 80, 1]
[d8, b2, 7e, 1]
[d9, b2, 85, 1]
[da, b2, 85, 1]
[d9, ae, 7e, 1]
[d4, b3, 7f, 1]
[d2, b2, 82, 1]
[ca, ad, 72, 1]
[b5, 9d, 57, 1]
[93, 7d, 27, 1]
[6b, 5b, 10, 1]
[43, 3a, 4, 1]
[24, 1e, 6, 1]
[d, b, 3, 1]
[3, 2, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[1, 1, 0, 1]
[4, 3, 0, 1]
[8, 6, 0, 1]
[9, 7, 2, 1]
[8, 6, 1, 1]
[4, 3, 0, 1]
[1, 1, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[1, 0, 0, 1]
[3, 2, 0, 1]
[b, 8, 1, 1]
[18, 13, 5, 1]
[2b, 21, a, 1]
[3d, 31, b, 1]
[3d, 31, b, 1]
[28, 23, 8, 1]
[11, d, 3, 1]
[4, 3, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[3b, 27, 2, 1]
[3f, 23, 0, 1]
[3e, 29, 1, 1]
[3f, 29, 3, 1]
[42, 2c, 5, 1]
[46, 2f, 3, 1]
[47, 34, 8, 1]
[49, 35, 11, 1]
[4d, 37, 10, 1]
[4d, 3c, 12, 1]
[50, 3f, 12, 1]
[52, 3f, 16, 1]
[53, 41, 1e, 1]
[53, 41, 20, 1]
[53, 41, 1f, 1]
[51, 42, 1a, 1]
[50, 41, 1b, 1]
[4f, 3d, 16, 1]
[4f, 3e, 11, 1]
[4d, 3b, 10, 1]
[4d, 3b, 13, 1]
[49, 33, d, 1]
[45, 30, b, 1]
[42, 2c, 5, 1]
[3d, 25, 7, 1]
[3d, 27, 3, 1]
[3a, 22, 3, 1]
[33, 1f, 3, 1]
[31, 1e, 0, 1]
[2d, 1d, 1, 1]
[2d, 1a, 3, 1]
[2c, 1b, 1, 1]
[24, 19, 1, 1]
